Bin_Center,Bin_edge,Image_1,Image_2,Image_3,Image_4,Image_5,Image_6
1002.5,1000,0,0,0,0,0,0
1007.5,1005,0,0,0,0,0,0
1012.5,1010,0,0,0,0,0,0
1017.5,1015,0,0,0,0,0,0
1022.5,1020,0,0,0,0,0,0
1027.5,1025,0,1,0,0,0,0
1032.5,1030,0,0,0,0,0,0
1037.5,1035,0,0,0,0,0,0
1042.5,1040,0,0,0,0,0,0
1047.5,1045,1,0,0,0,0,0
1052.5,1050,0,0,0,0,0,0
1057.5,1055,2,0,0,0,0,0
1062.5,1060,1,0,0,0,0,0
1067.5,1065,1,0,0,0,0,0
1072.5,1070,5,0,0,0,0,0
1077.5,1075,4,2,1,0,0,0
1082.5,1080,5,0,1,0,0,0
1087.5,1085,5,0,1,0,0,0
1092.5,1090,3,8,2,1,0,0
1097.5,1095,9,1,0,0,0,0
1102.5,1100,16,0,2,0,1,0
1107.5,1105,16,4,1,0,0,0
1112.5,1110,28,4,1,1,1,0
1117.5,1115,34,13,3,1,0,0
1122.5,1120,65,11,6,0,0,0
1127.5,1125,131,21,8,1,0,0
1132.5,1130,329,26,2,1,0,0
1137.5,1135,760,59,13,2,0,0
1142.5,1140,1938,93,13,3,0,0
1147.5,1145,4395,174,13,2,0,0
1152.5,1150,8691,429,31,5,0,0
1157.5,1155,14610,1111,55,2,1,0
1162.5,1160,21412,2465,80,10,3,0
1167.5,1165,27092,5366,145,12,0,0
1172.5,1170,28977,10121,391,17,0,0
1177.5,1175,27659,16340,938,36,1,0
1182.5,1180,22746,22718,2020,42,3,0
1187.5,1185,16927,27978,4351,62,3,1
1192.5,1190,12030,28952,8356,117,1,0
1197.5,1195,8598,26195,14324,221,0,0
1202.5,1200,6899,20428,20684,495,7,0
1207.5,1205,6479,13971,26085,1113,11,1
1212.5,1210,6815,8514,28260,2477,14,0
1217.5,1215,7529,4769,26998,4940,9,0
1222.5,1220,8218,2628,22139,8495,18,0
1227.5,1225,8739,1632,15707,13671,46,0
1232.5,1230,8733,1328,9952,18629,76,0
1237.5,1235,8881,1322,5722,23545,145,0
1242.5,1240,8519,1560,3063,25725,341,0
